experiment_name,dataset_id,split_id,graph_seed,scenario_id,severity,oracle_labels,scenario_applied,base_graph_path,graph_path,n_nodes,n_edges,mean_in_degree,median_in_degree,mean_out_degree,median_out_degree,heterophily_ratio,pos_rate
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,717,clean,0.0,False,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,0,heterophily_rewire_oracle,0.0,True,False,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,1,heterophily_rewire_oracle,0.0,True,False,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,0,heterophily_rewire_oracle,0.15,True,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/variants/yelpchi/r40_s0/heterophily_rewire_oracle/0.15/seed_0/graph.bin,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3428902924060821,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,1,heterophily_rewire_oracle,0.15,True,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/variants/yelpchi/r40_s0/heterophily_rewire_oracle/0.15/seed_1/graph.bin,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3429500162601471,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,0,heterophily_rewire_oracle,0.3,True,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/variants/yelpchi/r40_s0/heterophily_rewire_oracle/0.30/seed_0/graph.bin,45954,8051348,175.2045135498047,149.0,175.2045135498047,175.0,0.4587487578392029,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,1,heterophily_rewire_oracle,0.3,True,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/variants/yelpchi/r40_s0/heterophily_rewire_oracle/0.30/seed_1/graph.bin,45954,8051348,175.2045135498047,149.0,175.2045135498047,175.0,0.4587411880493164,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,0,heterophily_rewire_nonoracle,0.0,False,False,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,1,heterophily_rewire_nonoracle,0.0,False,False,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,45954,8051348,175.2045135498047,175.0,175.2045135498047,175.0,0.2268800139427185,0.1452974677085876
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,0,heterophily_rewire_nonoracle,0.15,False,True,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/base/yelpchi/r40_s0/graph.bin,/kaggle/working/gfd-robustness-v4-factorial-r1/graphs/variants/yelpchi/r40_s0/heterophily_rewire_nonoracle/0.15/seed_0/graph.bin,45954,8051348,175.2045135498047,174.0,175.2045135498047,175.0,0.2294831871986389,0.1452974677085876
